method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
LB,ALL59,beta,45,6,0,0.4933882270322104,0.3602844387939903,0.6121630562861544
LB,ALL59,beta,46,6,0,0.3114212153027246,0.16006957003311073,0.45054747169298026
LB,ALL59,beta,47,6,0,0.5383604573292929,0.40920067753147066,0.6540286560466533
LB,ALL59,beta,48,6,0,0.4912189747530646,0.3542284650855501,0.6038487696442044
LB,ALL59,beta,49,6,1,0.39156614050196625,0.23418919211957237,0.5290341393952028
LB,ALL59,beta,50,7,0,0.3650859413797322,0.2505920506981378,0.47897223619082263
LB,ALL59,beta,51,7,0,0.3540062607987062,0.188836219347641,0.481829614863952
LB,ALL59,beta,52,7,0,0.47845033678517257,0.3570880166988889,0.5751485388114803
LB,ALL59,beta,53,7,0,0.4650374369295412,0.32641871490438906,0.5725751045571924
LB,ALL59,beta,54,7,0,0.4434394273517439,0.3156338251530041,0.5568122820144918
LB,ALL59,beta,55,7,0,0.4468265914897092,0.2238450035090057,0.6374601433476486
LB,ALL59,beta,56,7,0,0.4734751401595051,0.284005342121322,0.644605349493825
LB,ALL59,beta,57,7,0,0.5047040854852303,0.36209612829232557,0.6350109302492483
LB,ALL59,beta,58,7,0,0.513714228864606,0.3834548362921905,0.6246981689759203
LB,ALL59,beta,59,7,0,0.40720452280180847,0.2908607806747864,0.5233971760902939
LB,ALL59,beta,60,7,0,0.5803407454311419,0.4177324161704788,0.712503022376997
LB,ALL59,delta,1,0,1,0.4528740627111083,0.33376784549613425,0.55327788873743
LB,ALL59,delta,2,1,0,0.4047617281121598,0.2770776516776293,0.5058594685586147
LB,ALL59,delta,3,1,0,0.34085324304633535,0.17581873552299232,0.4825520322122913
LB,ALL59,delta,4,1,1,0.5572160279651447,0.4299720815583445,0.6552591667537685
LB,ALL59,delta,5,2,0,0.5273578886484782,0.39176900161855804,0.6560875575344389
LB,ALL59,delta,6,2,0,0.44789542926190645,0.31043058767780896,0.5614690866144905
LB,ALL59,delta,7,2,0,0.4499536064617378,0.28657607335477825,0.5956623686568869
LB,ALL59,delta,8,2,0,0.5935583444499238,0.4947864361272038,0.6824113018208718
LB,ALL59,delta,9,2,1,0.29395143821616304,0.07839269071715901,0.46118645542785175
LB,ALL59,delta,10,3,0,0.6152227229808991,0.4908319568488412,0.7068834015168097
LB,ALL59,delta,11,3,0,0.3662386280187973,0.2385166785877735,0.47697230180748323
LB,ALL59,delta,12,3,0,0.4470497139777513,0.31758974062132755,0.5715166242213887
LB,ALL59,delta,13,3,0,0.5023829812009171,0.38886940379312696,0.6061124406998596
LB,ALL59,delta,14,3,0,0.3220296531407986,0.14132396803102293,0.4968148664787729
LB,ALL59,delta,15,3,0,0.4448319815176225,0.3365579660645002,0.5375536007605335
LB,ALL59,delta,16,3,1,0.5743175889181863,0.431943120629183,0.6886971338927924
LB,ALL59,delta,17,4,0,0.569839823434784,0.4315993011948188,0.6810262535406106
LB,ALL59,delta,18,4,0,0.3830598280155433,0.23462301935302898,0.528617884106113
LB,ALL59,delta,19,4,0,0.4551703647720492,0.30177110128732365,0.5878222069213693
LB,ALL59,delta,20,4,0,0.5704397545258115,0.4135005212100238,0.6917779051394936
LB,ALL59,delta,21,4,0,0.5255377680173853,0.41853440770420414,0.624815203693182
