method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
SPH,ALL59,beta,20,4,0,0.5351610741467525,0.41371289104652365,0.6529304612750942
SPH,ALL59,beta,21,4,0,0.5086155931222177,0.3654322070371362,0.6228111133192357
SPH,ALL59,beta,22,4,0,0.434516883524316,0.2807702789538354,0.5779485210134017
SPH,ALL59,beta,23,4,0,0.4586589457194762,0.3262016766763355,0.5721746788483344
SPH,ALL59,beta,24,4,0,0.39345955914964437,0.23934515124936473,0.5422797044904716
SPH,ALL59,beta,25,4,1,0.5113143604748583,0.37360157129741295,0.6202547658183925
SPH,ALL59,beta,26,5,0,0.5086424603109682,0.39156784537946465,0.6144327979169081
SPH,ALL59,beta,27,5,0,0.5333407318172074,0.36760758610103794,0.665052608756488
SPH,ALL59,beta,28,5,0,0.4855238647519628,0.3632482980224671,0.5973967586320033
SPH,ALL59,beta,29,5,0,0.4165595742181219,0.21690086652318225,0.5711262336129626
SPH,ALL59,beta,30,5,0,0.4260753436143372,0.2745525060531956,0.571306996485707
SPH,ALL59,beta,31,5,0,0.6123330873982985,0.469175506529249,0.7140761614627351
SPH,ALL59,beta,32,5,0,0.4761975367056333,0.3378569024073812,0.5844201442557566
SPH,ALL59,beta,33,5,0,0.4451525113356601,0.28829582462751097,0.5883993472433278
SPH,ALL59,beta,34,5,0,0.5733235845191015,0.46780334234913007,0.6675558650132227
SPH,ALL59,beta,35,5,0,0.5812238654791488,0.4683791324687182,0.6855522989871234
SPH,ALL59,beta,36,5,1,0.5511276926260676,0.41386149499948977,0.6610387866232202
SPH,ALL59,beta,37,6,0,0.5427949824516322,0.39070223068927085,0.6537130793386827
SPH,ALL59,beta,38,6,0,0.5864133426042455,0.4804982237000938,0.6788435692879116
SPH,ALL59,beta,39,6,0,0.485352792806013,0.3474891558907958,0.6061008739769498
SPH,ALL59,beta,40,6,0,0.3934545907416519,0.2541469716897627,0.5270783813411759
SPH,ALL59,beta,41,6,0,0.4544948510765059,0.2832778181086225,0.6075729433015146
SPH,ALL59,beta,42,6,0,0.42032374134026396,0.2770137232916124,0.5582833578937745
SPH,ALL59,beta,43,6,0,0.5735190556497721,0.43887114842051245,0.6824368867477252
