subject,condition,subset,m_used,K_last,R2_at_Klast,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16,R2_K25,R2_K36,R2_K49
010138,EC,ALL59,59,59,1.0,11,0.1864406779661017,59,1.0,1,11,0.1864406779661017,59,1.0,1,32,0.5423728813559322,59,1.0,1,0.3159491772156392,0.6228394570565355,0.6731067582499085,0.8265959656109424,0.8736447102158474,0.9427373980963507,0.9867198943362868
010141,EC,ALL59,59,59,1.0,7,0.11864406779661017,59,1.0,1,10,0.1694915254237288,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.4288594374403997,0.6686847420226086,0.7435811011200236,0.8405332327775996,0.9323399105886451,0.9809736988988463,0.995594134714099
010142,EC,ALL59,59,59,1.0,16,0.2711864406779661,59,1.0,1,19,0.3220338983050847,59,1.0,1,27,0.4576271186440678,59,1.0,1,0.10695579902445548,0.38764287562142863,0.6000197696976686,0.7241087407599877,0.8573646770576716,0.9447453134225011,0.9815793280908621
010146,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,5,0.08771929824561403,57,1.0,1,18,0.3157894736842105,57,1.0,1,0.30646390931817563,0.6067986140305746,0.7991066213597213,0.8891151694306706,0.9477901927571858,0.9622219322692269,0.9907011280822372
010148,EC,ALL59,58,58,1.0,8,0.13793103448275862,58,1.0,1,10,0.1724137931034483,58,1.0,1,21,0.3620689655172414,58,1.0,1,0.06816413041844302,0.3218440702485395,0.7345115810318048,0.8635993469487051,0.9353536952596366,0.972448612069197,0.9890227945984912
010150,EC,ALL59,58,58,1.0,15,0.25862068965517243,58,1.0,1,15,0.25862068965517243,58,1.0,1,26,0.4482758620689655,58,1.0,1,0.3044628706698529,0.3841385636259646,0.5763710191959847,0.8346506241346862,0.8957590925998705,0.932280182954395,0.97628462120178
010152,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,5,0.08771929824561403,57,1.0,1,13,0.22807017543859648,57,1.0,1,0.5468340241697122,0.6461851308891348,0.8544836333397091,0.9199465981906317,0.9539275104835028,0.9655319899435263,0.9939775938255554
010155,EC,ALL59,57,57,1.0,9,0.15789473684210525,57,1.0,1,11,0.19298245614035087,57,1.0,1,28,0.49122807017543857,57,1.0,1,0.06807375839494591,0.32035377500846407,0.7105102799915164,0.7813010085252611,0.8660581726791873,0.9491230094609335,0.970084708493217
010157,EC,ALL59,56,56,1.0,9,0.16071428571428573,56,1.0,1,10,0.17857142857142858,56,1.0,1,24,0.42857142857142855,56,1.0,1,0.22955613480275042,0.5442935199251165,0.7190183889044004,0.8082893295912095,0.9110473058096427,0.9590572874846807,0.9894398575120968
010162,EC,ALL59,59,59,1.0,6,0.1016949152542373,59,1.0,1,8,0.13559322033898305,59,1.0,1,22,0.3728813559322034,59,1.0,1,0.4513305324781417,0.5335834664172299,0.7891105008844611,0.874317349613861,0.9632794237418798,0.9793349025601116,0.996484568434611
010163,EC,ALL59,54,54,1.0,9,0.16666666666666666,54,1.0,1,10,0.18518518518518517,54,1.0,1,21,0.3888888888888889,54,1.0,1,0.29139371522704427,0.44154026915083144,0.7435265315986365,0.840121876096074,0.928916275119089,0.9739857767019479,0.9975044880774766
010164,EC,ALL59,59,59,1.0,11,0.1864406779661017,59,1.0,1,15,0.2542372881355932,59,1.0,1,28,0.4745762711864407,59,1.0,1,0.2548530575993788,0.500657166371111,0.6208924138642955,0.785830129543745,0.8788870017782804,0.946837031456738,0.9904939000477363
010165,EC,ALL59,58,58,1.0,5,0.08620689655172414,58,1.0,1,6,0.10344827586206896,58,1.0,1,23,0.39655172413793105,58,1.0,1,0.3427350436860951,0.552727244900625,0.7614142590464037,0.8126906597961737,0.9275344893762171,0.9634685140522571,0.994947757438594
010166,EC,ALL59,56,56,1.0,4,0.07142857142857142,56,1.0,1,5,0.08928571428571429,56,1.0,1,10,0.17857142857142858,56,1.0,1,0.2939706840140959,0.7324527168345393,0.8630960253743916,0.9447222775986833,0.9730717987537534,0.986948536376393,0.9971284800365443
010168,EC,ALL59,57,57,1.0,11,0.19298245614035087,57,1.0,1,11,0.19298245614035087,57,1.0,1,23,0.40350877192982454,57,1.0,1,0.25631344042929166,0.6419859462409188,0.6636008761396078,0.8573589571843789,0.9251964524114329,0.9635210350958655,0.9883533447364878
010170,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,9,0.15254237288135594,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.0663736790131839,0.5905809362597613,0.7573652865792017,0.8455117611318841,0.9608031069448209,0.9745803483523771,0.9922179692985598
010176,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,12,0.2033898305084746,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.19029873342723835,0.446447967646737,0.7150965099142269,0.7897540606087047,0.9329133510279352,0.9700807433865676,0.9964283748988961
010183,EC,ALL59,59,59,1.0,6,0.1016949152542373,59,1.0,1,11,0.1864406779661017,59,1.0,1,20,0.3389830508474576,59,1.0,1,0.46517336145040944,0.6935384738505561,0.7244862940802301,0.8641579352962914,0.9312881513484124,0.974825033100235,0.995580984246354
010191,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,4,0.06779661016949153,59,1.0,1,13,0.22033898305084745,59,1.0,1,0.3584940107925129,0.7581049489336896,0.8176095645476452,0.9562096319444113,0.9832879945498091,0.9909093089454614,0.9974019403909807
010192,EC,ALL59,58,58,1.0,4,0.06896551724137931,58,1.0,1,5,0.08620689655172414,58,1.0,1,14,0.2413793103448276,58,1.0,1,0.3516995609923032,0.7402983811016859,0.7979202345609218,0.9431891822332383,0.9760242890698901,0.9912193374186433,0.9982886246707803
010194,EC,ALL59,58,58,1.0,4,0.06896551724137931,58,1.0,1,6,0.10344827586206896,58,1.0,1,14,0.2413793103448276,58,1.0,1,0.25257673904629574,0.7046348670102535,0.8079347683234539,0.9262737977666943,0.9693266020955353,0.9855910301148914,0.9961415465523875
010195,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,4,0.06779661016949153,59,1.0,1,18,0.3050847457627119,59,1.0,1,0.5562532855148664,0.7990647291334374,0.827073232161107,0.8698182226493834,0.9437854931890756,0.9833386980129918,0.9963462699405119
010196,EC,ALL59,58,58,1.0,4,0.06896551724137931,58,1.0,1,4,0.06896551724137931,58,1.0,1,19,0.3275862068965517,58,1.0,1,0.23991704677600734,0.7784869658034967,0.8469930069747716,0.8830104681952711,0.9493536364202118,0.9717519233664769,0.987669920434867
010197,EC,ALL59,59,59,1.0,7,0.11864406779661017,59,1.0,1,9,0.15254237288135594,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.018512076008703023,0.3146403757175004,0.7545514325679167,0.8296681877037143,0.9211041286804741,0.9607499890387046,0.9821730474802541
010199,EC,ALL59,59,59,1.0,12,0.2033898305084746,59,1.0,1,13,0.22033898305084745,59,1.0,1,25,0.423728813559322,59,1.0,1,0.3859659833031642,0.49604370563720124,0.6712136331229865,0.8080304909259043,0.9027888468178185,0.9332913557969492,0.986861793264537
010200,EC,ALL59,57,57,1.0,4,0.07017543859649122,57,1.0,1,5,0.08771929824561403,57,1.0,1,15,0.2631578947368421,57,1.0,1,0.4950076380857659,0.7427993105834427,0.8489759594889623,0.9249549380792408,0.9695434213853379,0.983026112164859,0.9963708386550295
010201,EC,ALL59,58,58,1.0,5,0.08620689655172414,58,1.0,1,5,0.08620689655172414,58,1.0,1,15,0.25862068965517243,58,1.0,1,0.3908806844916202,0.6473604599016686,0.8575966426130522,0.9262151025960492,0.9591912404012816,0.9781942483091374,0.9949061011404103
010202,EC,ALL59,59,59,1.0,10,0.1694915254237288,59,1.0,1,12,0.2033898305084746,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.2048407325337662,0.4234275728259825,0.6979393242922084,0.8776038042051462,0.9301289538789899,0.9747559552129025,0.990768166311147
010204,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,4,0.06779661016949153,59,1.0,1,15,0.2542372881355932,59,1.0,1,0.14900708978938182,0.7860836099414951,0.8648655801587779,0.9183907232506056,0.9683382769744759,0.9858901241532994,0.9948120802890827
010207,EC,ALL59,59,59,1.0,10,0.1694915254237288,59,1.0,1,11,0.1864406779661017,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.02627845114310436,0.34739711398110856,0.696481834299501,0.8465242783680266,0.912721272514453,0.9547164436753522,0.982984199396476
010210,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,5,0.0847457627118644,59,1.0,1,15,0.2542372881355932,59,1.0,1,0.5595372221648204,0.7462985669042901,0.8515040578861844,0.9103710838705344,0.9648114325913699,0.9888480323268044,0.9957463934806778
010213,EC,ALL59,59,59,1.0,10,0.1694915254237288,59,1.0,1,11,0.1864406779661017,59,1.0,1,17,0.288135593220339,59,1.0,1,0.38071905333228195,0.600056992461706,0.6613495031542994,0.8960131603963767,0.9417077294669194,0.9756084800993028,0.990187329144053
010214,EC,ALL59,59,59,1.0,10,0.1694915254237288,59,1.0,1,10,0.1694915254237288,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.2301813570456798,0.4668688143536645,0.6964839351633542,0.8629708262776387,0.9506651751266642,0.9806843471156107,0.995342663096563
010215,EC,ALL59,59,59,1.0,13,0.22033898305084745,59,1.0,1,14,0.23728813559322035,59,1.0,1,25,0.423728813559322,59,1.0,1,0.16324445244309327,0.354383743298505,0.6319147546512596,0.7798647979669467,0.9054763071497306,0.9497280185189733,0.9794715520809072
010218,EC,ALL59,59,59,1.0,8,0.13559322033898305,59,1.0,1,11,0.1864406779661017,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.15422689777391493,0.5932842060481113,0.7293639446563137,0.8288654525707987,0.9286034302257541,0.96597924959827,0.99172599221954
